id,season,team_name,remaining_fund(in rupee),overseas_player,total_players,total_spent,total_budget
55,2017,Punjab Kings,139000000.0,9,27,94500000.0,233500000.0
56,2017,Kolkata Knight Riders,54000000.0,9,23,143500000.0,197500000.0
57,2017,Mumbai Indians,33550000.0,9,27,82000000.0,115550000.0
58,2017,Rising Pune Supergiant,3000000.0,8,26,172000000.0,175000000.0
59,2017,Royal Challengers Bangalore,24250000.0,9,24,154000000.0,178250000.0
60,2017,Sunrisers Hyderabad,122500000.0,9,25,86500000.0,209000000.0
61,2016,Delhi Capitals,61500000.0,9,27,310000000.0,371500000.0
62,2016,Gujarat Lions,103500000.0,7,24,166500000.0,270000000.0
63,2016,Punjab Kings,124500000.0,7,22,105500000.0,230000000.0
64,2016,Kolkata Knight Riders,122500000.0,9,22,57000000.0,179500000.0
65,2016,Mumbai Indians,13050000.0,8,26,131000000.0,144050000.0
66,2016,Rising Pune Supergiant,52000000.0,7,23,218000000.0,270000000.0
67,2016,Royal Challengers Bangalore,61750000.0,9,25,154500000.0,216250000.0
68,2016,Sunrisers Hyderabad,84000000.0,7,25,217500000.0,301500000.0
69,2015,Chennai Super Kings,7000000.0,9,25,41000000.0,48000000.0
70,2015,Delhi Capitals,13500000.0,9,25,384000000.0,397500000.0
71,2015,Punjab Kings,92000000.0,7,22,34000000.0,126000000.0
72,2015,Kolkata Knight Riders,92000000.0,9,23,40000000.0,132000000.0
73,2015,Mumbai Indians,49050000.0,9,26,51000000.0,100050000.0
74,2015,Rajasthan Royals,106500000.0,8,25,21000000.0,127500000.0
75,2015,Royal Challengers Bangalore,20000000.0,9,26,188000000.0,208000000.0
76,2015,Sunrisers Hyderabad,93500000.0,8,23,117000000.0,210500000.0
77,2014,Chennai Super Kings,2000000.0,9,25,208000000.0,210000000.0
78,2014,Delhi Capitals,0.0,7,23,600000000.0,600000000.0
79,2014,Punjab Kings,41000000.0,7,23,394000000.0,435000000.0
80,2014,Kolkata Knight Riders,10000000.0,8,21,370000000.0,380000000.0
81,2014,Mumbai Indians,500000.0,8,21,209500000.0,210000000.0
82,2014,Rajasthan Royals,55500000.0,8,25,169500000.0,225000000.0
83,2014,Royal Challengers Bangalore,0.0,7,21,305000000.0,305000000.0
84,2014,Sunrisers Hyderabad,10000000.0,7,24,370000000.0,380000000.0
85,2013,Chennai Super Kings,108088578.4587,11,22,75236878.5,183325456.9587
86,2013,Delhi Capitals,38407577.4978,11,26,44498076.0,82905653.4978
87,2013,Punjab Kings,355564569.5826,8,23,46840080.0,402404649.5826
88,2013,Kolkata Knight Riders,88334301.6696,11,23,39521317.5,127855619.1696
89,2013,Mumbai Indians,20008852.6239,11,28,117100200.0,137109052.6239
90,2013,Pune Warriors India,47081891.913,11,33,146375250.0,193457141.913
91,2013,Rajasthan Royals,414025556.3304,10,21,36886563.0,450912119.3304
92,2013,Royal Challengers Bangalore,41659684.2522,10,31,106268431.5,147928115.7522
93,2013,Sunrisers Hyderabad,326925959.1696,11,26,83141142.0,410067101.1696
